"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Feve (Feve) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/feve1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/feve2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/feve3.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/feve4.jpg","INSPIRÉ DE DELICE DE FEVES","0",""
"simple","Gris (Gris) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/gris1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/gris2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/gris3.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/gris4.jpg","INSPIRÉ DE GRIS","0",""
"simple","Cherry (Cherry) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/cherry1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/cherry2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/cherry3.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/cherry4.jpg","INSPIRÉ DE LOST CHERRY","0",""
"simple","Cométe (Cométe) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/comete1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/comete2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/comete3.jpg","INSPIRÉ DE METEOR","0",""
"simple","Erba (Erba) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/erba1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/erba2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/erba3.jpg","INSPIRÉ DE ERBA PURA","0",""
"simple","Ghost (Ghost) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/ghost1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/ghost2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/ghost3.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/ghost4.jpg","INSPIRÉ DE BLACK FANTOM","0",""
"simple","Ilham (Ilham) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/ilham1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/ilham2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/ilham3.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/ilham4.jpg","INSPIRÉ DE ILHAM","0",""
"simple","Infinity (Infinity) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/infinity1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/infinity2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/infinity3.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/infinity4.jpg","INSPIRÉ DE IMMENSITÉ","0",""
"simple","Intense (Intense) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/intense1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/intense2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/intense3.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/intense4.jpg","INTENSE","0",""
"simple","Kalimat (Kalimat) Collection Privée Paris","1","0","visible","","","6.99","10","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/kalimat1.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/kalimat2.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/kalimat3.jpg,https://www.collectionloriginal.com/wp-content/uploads/2026/03/kalimat4.jpg","INSPIRÉ DE KALEMAT","0",""
